id,pixelx,pixely,lat,lon
101,145,874,39.6129340,-74.3629192
102,135,680,39.6132004,-74.3628631
103,135,457,39.6135350,-74.3627630
104,135,304,39.6137446,-74.3626723
105,135,132,39.61402564,-74.36257145
110,531,872,39.6127825,-74.3621070
111,935,865,39.6126474,-74.3612877
112,535,672,39.6130570,-74.3619930
113,940,673,39.6128881,-74.3611863
114,535,473,39.6133738,-74.3619212
115,943,485,39.6131753,-74.3610934
116,539,323,39.6135554,-74.3618663
117,945,335,39.6133695,-74.3610090
118,539,157,39.6138130,-74.3617945
119,905,193,39.6135680,-74.3609794
120,63,1029,39.6127531,-74.3631310